127.0.0.1 - - [28/Oct/2020:22:49:06 +0900] "GET / HTTP/1.1" 404 807
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/view/manager/css/bootstrap.min.css HTTP/1.1" 200 163224
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/view/manager/css/flaticon.css HTTP/1.1" 200 3497
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/view/manager/css/font-awesome.min.css HTTP/1.1" 200 31004
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/view/manager/css/elegant-icons.css HTTP/1.1" 200 26411
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/view/manager/css/style.css HTTP/1.1" 200 49964
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/view/manager/css/nice-select.css HTTP/1.1" 200 4145
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/view/manager/css/magnific-popup.css HTTP/1.1" 200 7302
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/view/manager/css/owl.carousel.min.css HTTP/1.1" 200 3356
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/view/manager/css/jquery-ui.min.css HTTP/1.1" 200 32082
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/view/manager/css/slicknav.min.css HTTP/1.1" 200 2509
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/view/manager/js/jquery-3.3.1.min.js HTTP/1.1" 200 86929
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/view/manager/js/bootstrap.min.js HTTP/1.1" 200 60016
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/view/manager/js/jquery-ui.min.js HTTP/1.1" 200 253681
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/view/manager/js/jquery.nice-select.min.js HTTP/1.1" 200 2945
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/view/manager/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20219
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/view/manager/js/jquery.slicknav.js HTTP/1.1" 200 21561
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/img/Taegeukgi.jpg HTTP/1.1" 404 837
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/img/m_blacklogo.png HTTP/1.1" 404 839
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/img/logo/m_blacklogo.png HTTP/1.1" 200 3930
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/view/manager/js/main.js HTTP/1.1" 200 2850
192.168.25.57 - - [28/Oct/2020:22:49:34 +0900] "GET /Eody/view/manager/js/owl.carousel.min.js HTTP/1.1" 200 44348
192.168.25.57 - - [28/Oct/2020:22:49:35 +0900] "GET /Eody/view/manager/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
192.168.25.57 - - [28/Oct/2020:22:49:35 +0900] "GET /Eody/view/manager/fonts/Flaticon.woff HTTP/1.1" 200 13840
192.168.25.57 - - [28/Oct/2020:22:49:35 +0900] "GET /Eody/view/manager/img/hero/hero-2.jpg HTTP/1.1" 200 158100
192.168.25.57 - - [28/Oct/2020:22:49:35 +0900] "GET /Eody/view/manager/img/hero/hero-1.jpg HTTP/1.1" 200 157459
192.168.25.57 - - [28/Oct/2020:22:49:35 +0900] "GET /Eody/view/manager/img/hero/hero-3.jpg HTTP/1.1" 200 156190
192.168.25.57 - - [28/Oct/2020:22:49:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.25.57 - - [28/Oct/2020:22:50:05 +0900] "GET /Eody/alogin.mc HTTP/1.1" 200 13838
192.168.25.57 - - [28/Oct/2020:22:50:05 +0900] "GET /Eody/img/m_blacklogo.png HTTP/1.1" 404 839
192.168.25.57 - - [28/Oct/2020:22:50:07 +0900] "POST /Eody/aloginimpl.mc HTTP/1.1" 200 19787
192.168.25.57 - - [28/Oct/2020:22:50:07 +0900] "GET /Eody/img/m_blacklogo.png HTTP/1.1" 404 839
192.168.25.57 - - [28/Oct/2020:22:50:08 +0900] "GET /Eody/img/shopImg/shopimg07.jpg HTTP/1.1" 200 114827
192.168.25.57 - - [28/Oct/2020:22:50:08 +0900] "GET /Eody/img/shopImg/shopimg08.jpg HTTP/1.1" 200 1602810
192.168.25.57 - - [28/Oct/2020:22:50:08 +0900] "GET /Eody/img/shopImg/shopimg18.jpg HTTP/1.1" 200 83464
192.168.25.57 - - [28/Oct/2020:22:50:08 +0900] "GET /Eody/img/shopImg/shopimg11.jpg HTTP/1.1" 200 10434
192.168.25.57 - - [28/Oct/2020:22:50:08 +0900] "GET /Eody/img/shopImg/shopimg19.jpg HTTP/1.1" 200 43807
192.168.25.57 - - [28/Oct/2020:22:50:20 +0900] "GET /Eody/shopdetail.mc?name=%EA%B9%80%EA%B0%88%EB%B9%84%EC%B0%9C HTTP/1.1" 200 27032
192.168.25.57 - - [28/Oct/2020:22:50:20 +0900] "GET /Eody/img/m_blacklogo.png HTTP/1.1" 404 839
192.168.25.57 - - [28/Oct/2020:22:50:20 +0900] "GET /Eody/view/manager/js/chart.js HTTP/1.1" 404 852
192.168.25.57 - - [28/Oct/2020:22:50:34 +0900] "GET /Eody/getReview.mc?ashop=%EA%B9%80%EA%B0%88%EB%B9%84%EC%B0%9C HTTP/1.1" 200 2
192.168.25.57 - - [28/Oct/2020:22:50:36 +0900] "GET /Eody/getbooking.mc?ashop=%EA%B9%80%EA%B0%88%EB%B9%84%EC%B0%9C HTTP/1.1" 200 2
192.168.25.57 - - [28/Oct/2020:22:58:06 +0900] "GET /Eody/shopdetail.mc?name=%EA%B9%80%EA%B0%88%EB%B9%84%EC%B0%9C HTTP/1.1" 200 27032
192.168.25.57 - - [28/Oct/2020:22:58:06 +0900] "GET /Eody/view/manager/js/chart.js HTTP/1.1" 404 852
192.168.25.57 - - [28/Oct/2020:22:58:06 +0900] "GET /Eody/img/m_blacklogo.png HTTP/1.1" 404 839
192.168.25.57 - - [28/Oct/2020:22:58:06 +0900] "GET /Eody/view/manager/js/chart.js HTTP/1.1" 404 852
